product_id,product_ean,Categorie_L1,Categorie_L2,Categorie_L3,name,price,discount_price,seller
5397184732557,5397184732557,Electronics & Appliances,"Laptops, PCs",Desktop Computer,"Dell Vostro 3910 12th Generation Business Desktop, 16GB, DDR4 RAM, 1TB SSD, Intel Core i7-12700 Processor, WiFi 802.11ac, Bluetooth 5.0, DVD-RW, Windows-11 (Black), 2022 Newest",2590,2590,Al Zubair Computers LLC
5397184504994,5397184504994,Electronics & Appliances,"Laptops, PCs",Monitors,Dell 24&quot; Lcd U2422H Ultrasharp FHD IPS 16: 9 5Ms/250Cd/1000: 1/Dp/HDMI/USB-C Hub Monitor,1489,1000,Stech Best Price
619659182557,619659182557,Electronics & Appliances,"Laptops, PCs",Data Storage,"SanDisk 1TB Extreme Up to 1050MB/s - USB-C, USB 3.2 Gen 2 Portable External SSD - SDSSDE61-1T00-G25",499.99,499.99,SIMAL TECHNOLOGIES
842776107305,842776107305,Electronics & Appliances,"Laptops, PCs",Networking & Connectivity,Google Nest Hub Chalk,380,320,Ample Online Store
1487997,4711467383822,Electronics & Appliances,"Laptops, PCs",Computer Cables & Adaptors,First 1 USB 3.1 Type C To HDMI Adaptor Cable White,99,99,Carrefour
1684336,5056244900304,Electronics & Appliances,"Laptops, PCs",Software,Kaspersky Total Security 2020 4 User,119,119,DIGITRONICS
6294004217395,6294004217395,Electronics & Appliances,"Laptops, PCs",Laptop Bags & Sleeves,Arctic Hunter 17 Inch Durable Polyester Backpack with Separate Laptop Compartment TSA Opening for Men and Women B00562 Black,394,220,Eminent
815820024071,815820024071,Electronics & Appliances,Video Games & Consoles,Consoles,"Meta Quest 3 Advanced All-In-One VR Headset, 512GB, White (International Version)",3950,2416.94,P A P I T A
2345234123412,2345234123412,Electronics & Appliances,Video Games & Consoles,Gaming Accessories & VR,Sega Sonic Forces - Pal - Nintendo Switch - Action &amp; Shooter - Nintendo Switch,102,102,AMG GAMERS
4549642434300,4549642434300,Electronics & Appliances,Video Games & Consoles,Games,Super Mario Maker 2 For Nintendo Switch,182.5,182.5,Exeon
1763052,4895229102309,Electronics & Appliances,Home Cinema & Audio,Small Audio,Philips AZ318B Portable CD Soundmachine With FM Radio Black,349,259,Retail Outbound
8806091823250,8806091823250,Electronics & Appliances,Home Cinema & Audio,Home Cinema Systems,LG S75QR 5.1.2CH High Res Audio Sound Bar With Dolby Atmos And Surround Speakers,2599,1800.89,ELECTRONIC PARK
1901632,6925281998041,Electronics & Appliances,Home Cinema & Audio,Speakers & Amplifiers,JBL Partybox Encore Portable Speaker With Mic Black,1399,1399,Carrefour
810037290042,810037290042,Electronics & Appliances,Home Cinema & Audio,Blu Ray & Media Streaming,"Google Chromecast With Google TV HD, Snow",146,146,Exeon
698813007110,698813007110,Electronics & Appliances,Home Cinema & Audio,Recording Devices,"Rode Wireless GO II 2-Person Compact Digital Wireless Microphone System/Recorder (2.4 GHz, Black)",1299,945.99,Retail Outbound
4548736121287,4548736121287,Electronics & Appliances,Home Cinema & Audio,Audio Cables & Accessories,"Sony Icd-Tx660 Lightweight And Ultra-Thin Digital Voice Recorder With Recording And 16Gb Built-In Memory, Sonyicdtx660",699,414.81,ElecMart
2140611,8809135869436,Electronics & Appliances,Home Cinema & Audio,Karaoke,Magic Star NanoBeatz Mini Karaoke Machine With Dual Wireless Microphones BB220 White,249,249,Carrefour
1751484,884938449199,Car Radio,,,Pioneer 2Din  Bt Apple Dmh-Z5350Bt,1999,1585.29,ELECTRONIC PARK
1976549,3616474434769,Electronics & Appliances,Batteries & Power,Batteries,Carrefour i-Tech Alkaline Batteries AAA 20 PCS,20.5,20.5,Carrefour
1865109,4895229120105,Electronics & Appliances,Batteries & Power,Extension Leads & Cables,Philips Power Multiplier 4-Way Extension Socket NB-0003 White 2m,79,45,Carrefour
